WADMKC,_mean
Bandung Kidul,-0.134439891448151
Cinambo,-0.166850120002753
Astana Anyar,-0.040128765803684
Antapani,-0.090590781211710
Cibeunying Kaler,-0.142514469403545
Sukajadi,-0.099962758737565
Cidadap,-0.228546431995479
Kiaracondong,-0.102501391838935
Gedebage,-0.214352900378928
Arcamanik,-0.154217656812552
Lengkong,-0.085044777531429
Sumur Bandung,-0.094892985936169
Ujungberung,-0.181220947834833
Bojongloa Kidul,-0.075293690795963
Babakan Ciparay,-0.063596769904649
Sukasari,-0.139652606830014
Cibeunying Kidul,-0.076581963937121
Bandung Wetan,-0.128279703167280
Buahbatu,-0.114011082075865
Batununggal,-0.085400101205744
Bojongloa Kaler,-0.025510604409397
Panyileukan,-0.156661937223356
Mandalajati,-0.169792364022046
Cicendo,-0.113242638737444
Andir,-0.058444257193006
Coblong,-0.138983128444846
Regol,-0.085175656491076
Cibiru,-0.226353499651889
Bandung Kulon,-0.072514188503725
Rancasari,-0.141588856162263
