WADMKC,_mean
Bandung Kidul,-0.150405611744748
Cinambo,-0.187090624209108
Astana Anyar,-0.060946453055169
Antapani,-0.118518935794649
Cibeunying Kaler,-0.177966330680745
Sukajadi,-0.128650072075487
Cidadap,-0.301112159488463
Kiaracondong,-0.117084592896670
Gedebage,-0.241032765369348
Arcamanik,-0.184894815816417
Lengkong,-0.097010652230133
Sumur Bandung,-0.110089535661320
Ujungberung,-0.224710931865636
Bojongloa Kidul,-0.102387314786052
Babakan Ciparay,-0.092384829431032
Sukasari,-0.182908006289442
Cibeunying Kidul,-0.097567880648858
Bandung Wetan,-0.139567902718153
Buahbatu,-0.135263209861042
Batununggal,-0.100976897513387
Bojongloa Kaler,-0.054701420955976
Panyileukan,-0.188300134050483
Mandalajati,-0.225199776840722
Cicendo,-0.148883786272041
Andir,-0.082708553945885
Coblong,-0.169644436607011
Regol,-0.098700585704756
Cibiru,-0.285413857560548
Bandung Kulon,-0.099981292903378
Rancasari,-0.156792270879081
