WADMKC,_mean
Bandung Kidul,-0.150704460386932
Cinambo,-0.172488277940551
Astana Anyar,-0.037543945036454
Antapani,-0.088012179080896
Cibeunying Kaler,-0.154686370018706
Sukajadi,-0.102676649434757
Cidadap,-0.291777679475950
Kiaracondong,-0.102407202635654
Gedebage,-0.229452212673019
Arcamanik,-0.162586892290349
Lengkong,-0.082037845561628
Sumur Bandung,-0.079104999154784
Ujungberung,-0.193891796725442
Bojongloa Kidul,-0.081656267824792
Babakan Ciparay,-0.069793337070925
Sukasari,-0.156322922743079
Cibeunying Kidul,-0.074535592827805
Bandung Wetan,-0.111141407906944
Buahbatu,-0.110361252773606
Batununggal,-0.087247159264303
Bojongloa Kaler,-0.024615310601009
Panyileukan,-0.172878928729984
Mandalajati,-0.200178165133897
Cicendo,-0.127629122599291
Andir,-0.061007297946299
Coblong,-0.147163996555915
Regol,-0.073935021281464
Cibiru,-0.237274474872139
Bandung Kulon,-0.071716744605057
Rancasari,-0.144587552876061
