WADMKC,_mean
Bandung Kidul,-0.130199505624066
Cinambo,-0.152009384504085
Astana Anyar,-0.022716348461466
Antapani,-0.076647720354877
Cibeunying Kaler,-0.137234586475793
Sukajadi,-0.091089855549892
Cidadap,-0.259914476046203
Kiaracondong,-0.093414594815526
Gedebage,-0.171621272623080
Arcamanik,-0.140610628860902
Lengkong,-0.070120650015292
Sumur Bandung,-0.078548526398924
Ujungberung,-0.167327432019994
Bojongloa Kidul,-0.071691729624782
Babakan Ciparay,-0.056348480866839
Sukasari,-0.148208068832904
Cibeunying Kidul,-0.058618429246429
Bandung Wetan,-0.114901707989202
Buahbatu,-0.110242837361129
Batununggal,-0.065043018922198
Bojongloa Kaler,-0.014784962177813
Panyileukan,-0.147608714586799
Mandalajati,-0.162508817408304
Cicendo,-0.099570792102528
Andir,-0.041238937139898
Coblong,-0.137057423300556
Regol,-0.073478214961681
Cibiru,-0.197797165366635
Bandung Kulon,-0.060886648874741
Rancasari,-0.139130273257496
