id_wilayah,nama_wilayah,id_kecamatan,nama_kecamatan,_mean
7D00F8E4,Bojonagara,32.73.01,Sukasari,33.6433488369523
932659F2,Cibeunying,32.73.02,Coblong,34.5603642457047
CC7B08F0,Tegallega,32.73.03,Babakan Ciparay,36.393752831336
CC7B08F0,Tegallega,32.73.04,Bojongloa Kaler,36.8774217577289
7D00F8E4,Bojonagara,32.73.05,Andir,36.1911900431257
7D00F8E4,Bojonagara,32.73.06,Cicendo,36.1179298088775
7D00F8E4,Bojonagara,32.73.07,Sukajadi,35.6949540169731
932659F2,Cibeunying,32.73.08,Cidadap,32.2597184400138
932659F2,Cibeunying,32.73.09,Bandung Wetan,35.8316211951511
CC7B08F0,Tegallega,32.73.10,Astanaanyar,36.9521725343671
6CE3653D,Karees,32.73.11,Regol,36.7211380389931
6CE3653D,Karees,32.73.12,Batununggal,36.5452963146464
6CE3653D,Karees,32.73.13,Lengkong,36.7172682558295
932659F2,Cibeunying,32.73.14,Cibeunying Kidul,35.7642922262788
CC7B08F0,Tegallega,32.73.15,Bandung Kulon,35.6530830176466
6CE3653D,Karees,32.73.16,Kiaracondong,36.3965170371367
CC7B08F0,Tegallega,32.73.17,Bojongloa Kidul,36.6405608967313
932659F2,Cibeunying,32.73.18,Cibeunying Kaler,34.9342624403357
932659F2,Cibeunying,32.73.19,Sumur Bandung,36.2664349233085
B3D12B15,Arcamanik,32.73.20,Antapani,36.3671499977972
BB4C0B50,Kordon,32.73.21,Bandung Kidul,35.6394482637776
BB4C0B50,Kordon,32.73.22,Buahbatu,35.9765289493544
0A471A31,Gedebage,32.73.23,Rancasari,35.3290007905493
B3D12B15,Arcamanik,32.73.24,Arcamanik,35.6593076666747
5F142D26,Ujungberung,32.73.25,Cibiru,32.3960926199477
5F142D26,Ujungberung,32.73.26,Ujungberung,33.4599320177416
0A471A31,Gedebage,32.73.27,Gedebage,33.8900529534177
5F142D26,Ujungberung,32.73.28,Panyileukan,33.8529201226721
B3D12B15,Arcamanik,32.73.30,Mandalajati,34.4951844973121
5F142D26,Ujungberung,32.73.29,Cinambo,34.7433819324713
