id_wilayah,nama_wilayah,id_kecamatan,nama_kecamatan,_mean
7D00F8E4,Bojonagara,32.73.01,Sukasari,34.6399783258034
932659F2,Cibeunying,32.73.02,Coblong,35.4950058123145
CC7B08F0,Tegallega,32.73.03,Babakan Ciparay,37.2344741596329
CC7B08F0,Tegallega,32.73.04,Bojongloa Kaler,37.8402675149661
7D00F8E4,Bojonagara,32.73.05,Andir,37.305386117032
7D00F8E4,Bojonagara,32.73.06,Cicendo,37.2716285660437
7D00F8E4,Bojonagara,32.73.07,Sukajadi,36.5136856554658
932659F2,Cibeunying,32.73.08,Cidadap,33.1511487173473
932659F2,Cibeunying,32.73.09,Bandung Wetan,36.7859472266474
CC7B08F0,Tegallega,32.73.10,Astanaanyar,37.8848228037279
6CE3653D,Karees,32.73.11,Regol,37.6240512904303
6CE3653D,Karees,32.73.12,Batununggal,37.5346558410271
6CE3653D,Karees,32.73.13,Lengkong,37.6422600244101
932659F2,Cibeunying,32.73.14,Cibeunying Kidul,36.7749344032058
CC7B08F0,Tegallega,32.73.15,Bandung Kulon,36.5781493257029
6CE3653D,Karees,32.73.16,Kiaracondong,37.4294286561365
CC7B08F0,Tegallega,32.73.17,Bojongloa Kidul,37.4390315147345
932659F2,Cibeunying,32.73.18,Cibeunying Kaler,35.9282579316851
932659F2,Cibeunying,32.73.19,Sumur Bandung,37.2025121523866
B3D12B15,Arcamanik,32.73.20,Antapani,37.3274023908703
BB4C0B50,Kordon,32.73.21,Bandung Kidul,36.5847276958642
BB4C0B50,Kordon,32.73.22,Buahbatu,36.8890575131401
0A471A31,Gedebage,32.73.23,Rancasari,36.1993152204552
B3D12B15,Arcamanik,32.73.24,Arcamanik,36.6849009357318
5F142D26,Ujungberung,32.73.25,Cibiru,33.6739852216364
5F142D26,Ujungberung,32.73.26,Ujungberung,34.4803141262641
0A471A31,Gedebage,32.73.27,Gedebage,35.0686143987511
5F142D26,Ujungberung,32.73.28,Panyileukan,35.1536212071893
B3D12B15,Arcamanik,32.73.30,Mandalajati,35.3196936934852
5F142D26,Ujungberung,32.73.29,Cinambo,36.036996631333
