id_wilayah,nama_wilayah,id_kecamatan,nama_kecamatan,_mean
7D00F8E4,Bojonagara,32.73.01,Sukasari,33.6296588626959
932659F2,Cibeunying,32.73.02,Coblong,34.8171991422849
CC7B08F0,Tegallega,32.73.03,Babakan Ciparay,36.5202602027283
CC7B08F0,Tegallega,32.73.04,Bojongloa Kaler,36.8223819340282
7D00F8E4,Bojonagara,32.73.05,Andir,36.3285058162381
7D00F8E4,Bojonagara,32.73.06,Cicendo,36.2880321308911
7D00F8E4,Bojonagara,32.73.07,Sukajadi,35.7246691391039
932659F2,Cibeunying,32.73.08,Cidadap,32.3373359703058
932659F2,Cibeunying,32.73.09,Bandung Wetan,36.0431388638196
CC7B08F0,Tegallega,32.73.10,Astanaanyar,36.8695297368082
6CE3653D,Karees,32.73.11,Regol,36.7375184411135
6CE3653D,Karees,32.73.12,Batununggal,36.7904400055317
6CE3653D,Karees,32.73.13,Lengkong,36.8563671420048
932659F2,Cibeunying,32.73.14,Cibeunying Kidul,35.9813246155722
CC7B08F0,Tegallega,32.73.15,Bandung Kulon,35.7053807547607
6CE3653D,Karees,32.73.16,Kiaracondong,36.7757521289267
CC7B08F0,Tegallega,32.73.17,Bojongloa Kidul,36.7101345571276
932659F2,Cibeunying,32.73.18,Cibeunying Kaler,35.1571773466878
932659F2,Cibeunying,32.73.19,Sumur Bandung,36.3736495991113
B3D12B15,Arcamanik,32.73.20,Antapani,36.7440121525286
BB4C0B50,Kordon,32.73.21,Bandung Kidul,35.9492604078409
BB4C0B50,Kordon,32.73.22,Buahbatu,36.2502420558263
0A471A31,Gedebage,32.73.23,Rancasari,35.6211495362352
B3D12B15,Arcamanik,32.73.24,Arcamanik,35.8640786991556
5F142D26,Ujungberung,32.73.25,Cibiru,32.7087684118927
5F142D26,Ujungberung,32.73.26,Ujungberung,33.5366736861452
0A471A31,Gedebage,32.73.27,Gedebage,34.112873878707
5F142D26,Ujungberung,32.73.28,Panyileukan,34.1139790390576
B3D12B15,Arcamanik,32.73.30,Mandalajati,34.4239849422914
5F142D26,Ujungberung,32.73.29,Cinambo,35.024445210436
