No,Kecamatan,BU,LST,id_kecamatan
1,bandung_kidul,-0.130199506,34.63997833,32.73.21
2,cinambo,-0.152009385,35.49500581,32.73.29
3,astanaanyar,-0.022716348,37.23447416,32.73.10
4,antapani,-0.07664772,37.84026751,32.73.20
5,cibeunying_kidul,-0.137234586,37.30538612,32.73.14
6,sukajadi,-0.091089856,37.27162857,32.73.07
7,cicadap,-0.259914476,36.51368566,32.73.08
8,kiaracondong,-0.093414595,33.15114872,32.73.16
9,gedebage,-0.171621273,36.78594723,32.73.27
10,arcamanik,-0.140610629,37.8848228,32.73.24
11,lengkong,-0.07012065,37.62405129,32.73.13
12,sumur_bandung,-0.078548526,37.53465584,32.73.19
13,ujungberung,-0.167327432,37.64226002,32.73.26
14,bojongloa_kaler,-0.07169173,36.7749344,32.73.04
15,babakan_ciparay,-0.056348481,36.57814933,32.73.03
16,sukasari,-0.148208069,37.42942866,32.73.01
17,cibeunying_kaler,-0.058618429,37.43903151,32.73.18
18,bandung_wetan,-0.114901708,35.92825793,32.73.09
19,buahbatu,-0.110242837,37.20251215,32.73.22
20,batununggal,-0.065043019,37.32740239,32.73.12
21,bojongloa_kidul,-0.014784962,36.5847277,32.73.17
22,panyileukan,-0.147608715,36.88905751,32.73.28
23,mandalajati,-0.162508817,36.19931522,32.73.30
24,cicendo,-0.099570792,36.68490094,32.73.06
25,andir,-0.041238937,33.67398522,32.73.05
26,coblong,-0.137057423,34.48031413,32.73.02
27,regol,-0.073478215,35.0686144,32.73.11
28,cibiru,-0.197797165,35.15362121,32.73.25
29,bandung_kulon,-0.060886649,35.31969369,32.73.15
30,rancasari,-0.139130273,36.03699663,32.73.23
