No,Kecamatan,BU,LST,id_kecamatan
1,bandung_kidul,-0.150405612,32.65321417,32.73.21
2,cinambo,-0.187090624,33.25673579,32.73.29
3,astanaanyar,-0.060946453,35.25747546,32.73.10
4,antapani,-0.118518936,35.6576908,32.73.20
5,cibeunying_kidul,-0.177966331,35.13018368,32.73.14
6,sukajadi,-0.128650072,35.11167,32.73.07
7,cicadap,-0.301112159,34.63470886,32.73.08
8,kiaracondong,-0.117084593,30.70113985,32.73.16
9,gedebage,-0.241032765,34.57948394,32.73.27
10,arcamanik,-0.184894816,35.52081396,32.73.24
11,lengkong,-0.097010652,35.28483707,32.73.13
12,sumur_bandung,-0.110089536,35.24438678,32.73.19
13,ujungberung,-0.224710932,35.32205389,32.73.26
14,bojongloa_kaler,-0.102387315,34.37371533,32.73.04
15,babakan_ciparay,-0.092384829,34.42549013,32.73.03
16,sukasari,-0.182908006,35.04671648,32.73.01
17,cibeunying_kaler,-0.097567881,35.27268064,32.73.18
18,bandung_wetan,-0.139567903,33.57611567,32.73.09
19,buahbatu,-0.13526321,34.9371691,32.73.22
20,batununggal,-0.100976898,34.94778111,32.73.12
21,bojongloa_kaler,-0.054701421,34.4423511,32.73.17
22,panyileukan,-0.188300134,34.70613186,32.73.28
23,mandalajati,-0.225199777,34.11889969,32.73.30
24,cicendo,-0.148883786,34.29905279,32.73.06
25,andir,-0.082708554,31.13125354,32.73.05
26,coblong,-0.169644437,32.09348227,32.73.02
27,regol,-0.098700586,32.67211591,32.73.11
28,cibiru,-0.285413858,32.86342762,32.73.25
29,bandung_kulon,-0.099981293,32.71100712,32.73.15
30,rancasari,-0.156792271,33.71640686,32.73.23
