No,Kecamatan,BU,LST,id_kecamatan
1,bandung_kidul,-0.15657024,33.64334884,32.73.21
2,cinambo,-0.175063573,34.56036425,32.73.29
3,astanaanyar,-0.030553727,36.39375283,32.73.10
4,antapani,-0.0884897,36.87742176,32.73.20
5,cibeunying_kidul,-0.151169619,36.19119004,32.73.14
6,sukajadi,-0.096384319,36.11792981,32.73.07
7,cicadap,-0.290373495,35.69495402,32.73.08
8,kiaracondong,-0.103216361,32.25971844,32.73.16
9,gedebage,-0.246751429,35.8316212,32.73.27
10,arcamanik,-0.169253823,36.95217253,32.73.24
11,lengkong,-0.078735278,36.72113804,32.73.13
12,sumur_bandung,-0.085102294,36.54529631,32.73.19
13,ujungberung,-0.201172961,36.71726826,32.73.26
14,bojongloa_kaler,-0.089716634,35.76429223,32.73.04
15,babakan_ciparay,-0.066231768,35.65308302,32.73.03
16,sukasari,-0.161460593,36.39651704,32.73.01
17,cibeunying_kaler,-0.069902635,36.6405609,32.73.18
18,bandung_wetan,-0.113578449,34.93426244,32.73.09
19,buahbatu,-0.112308746,36.26643492,32.73.22
20,batununggal,-0.083081296,36.36715,32.73.12
21,bojongloa_kaler,-0.023842621,35.63944826,32.73.17
22,panyileukan,-0.18156917,35.97652895,32.73.28
23,mandalajati,-0.200346972,35.32900079,32.73.30
24,cicendo,-0.125670489,35.65930767,32.73.06
25,andir,-0.054384923,32.39609262,32.73.05
26,coblong,-0.141115588,33.45993202,32.73.02
27,regol,-0.078645557,33.89005295,32.73.11
28,cibiru,-0.247137077,33.85292012,32.73.25
29,bandung_kulon,-0.072991458,34.4951845,32.73.15
30,rancasari,-0.146142786,34.74338193,32.73.23
