No,Kecamatan,BU,LST,id_kecamatan
1,bandung_kidul,-0.134439891,33.5414768,32.73.21
2,cinambo,-0.16685012,34.1747154,32.73.29
3,astanaanyar,-0.040128766,36.16134133,32.73.10
4,antapani,-0.090590781,36.55266304,32.73.20
5,cibeunying_kidul,-0.142514469,35.86341156,32.73.14
6,sukajadi,-0.099962759,35.72825022,32.73.07
7,cicadap,-0.228546432,35.10806312,32.73.08
8,kiaracondong,-0.102501392,32.12810458,32.73.16
9,gedebage,-0.2143529,35.25938333,32.73.27
10,arcamanik,-0.154217657,36.4286313,32.73.24
11,lengkong,-0.085044778,36.21355012,32.73.13
12,sumur_bandung,-0.094892986,36.27264377,32.73.19
13,ujungberung,-0.181220948,36.29286169,32.73.26
14,bojongloa_kaler,-0.075293691,35.46348315,32.73.04
15,babakan_ciparay,-0.06359677,35.37707119,32.73.03
16,sukasari,-0.139652607,36.11505881,32.73.01
17,cibeunying_kaler,-0.076581964,36.25739793,32.73.18
18,bandung_wetan,-0.128279703,34.54103841,32.73.09
19,buahbatu,-0.114011082,35.65234631,32.73.22
20,batununggal,-0.085400101,36.02795062,32.73.12
21,bojongloa_kidul,-0.025510604,35.4794485,32.73.17
22,panyileukan,-0.156661937,35.77166862,32.73.28
23,mandalajati,-0.169792364,35.15463522,32.73.30
24,cicendo,-0.113242639,35.39810379,32.73.06
25,andir,-0.058444257,32.43127082,32.73.05
26,coblong,-0.138983128,33.25671262,32.73.02
27,regol,-0.085175656,33.71215837,32.73.11
28,cibiru,-0.2263535,33.90552627,32.73.25
29,bandung_kulon,-0.072514189,34.20307881,32.73.15
30,rancasari,-0.141588856,34.70602759,32.73.23
